category,model,model_description,model_name,manufacturer,weight,price
Charging_Accessories," J1772
Contro
","  J1772 Active V ehicle Control
Module AVC2 - For Public Charge
Stations
Due to the low quantity of stock of
this item we ...
",J1772 Active V ehicle Control," : Modular EV
",: 1.00,$45.00
Charging_Accessories," J-Bracket
","  J1772 and T esla Charge Inlet
Universal Mounting Bracket -
Aluminum
This is an aluminum bracket for
mounting our Tesla ...
",J1772 and T esla Charge Inlet," : EV West
",: 1.00,$19.00
Charging_Accessories," Charge
Plate
","  J1772 Inlet Mounting Plate for
Karmann Ghia Charging Port
We developed these simple
aluminum mounting plates ...
",J1772 Inlet Mounting Plate for," : EV West
",: 0.50,$18.88
Charging_Accessories," J1772-
CRD32A
","  J1772 Replacement 32A  Plug & 20'
Cord
Set up your own home custom
charging station, buil ...
",J1772 Replacement 32A  Plug & 20'," : EV West
",: 11.00,$99.00
Charging_Accessories," JDaptor
Stub
","  JDapter Stub - T esla Charge
Station Adaptor - Use T esla
Charging Stations
This is an adaptor that allows a
Telsa AC powering ...
",JDapter Stub - T esla Charge," : Quick
Charge
Power
",: 2.00,$389.00
Charging_Accessories," TS-MCU
","  MCU Master Control Unit - CAN
Bus BMS and Charger Controller
by Dilithium Design and
Thunderstruck
The Dilithium/Thunderstruck MCU
(Master Control Un ...
",MCU Master Control Unit - CAN," : Dilithium
BMS
",: 1.00,$420.00
Charging_Accessories," MENNEKS
","  Mennekes European 32A
Receptacle W ith Cover (EVSE Side
- Female Pins)
This European standard
Mennekes EVSE-side receptac ...
",Mennekes European 32A," : EV West
",: 1.50,$119.00
Charging_Accessories," MEN-REC
","  Mennekes European 32A
Receptacle W ith Cover (V ehicle
Side - Male Pins Side)
This European standard
Mennekes Vehicle-side recep ...
",Mennekes European 32A," : EV West
",: 1.50,$119.00
Controller_Accessories,"
","  AC Motor 3 Phase W ire EV Motor
Cable Set - 2/0 Orange
Prefabricated HPEVS AC50/51
2/0 3 Phase Cable Set. ...
",AC Motor 3 Phase W ire EV Motor," : EV West
",: 3.00,$74.95
Controller_Accessories," TEMPSWITCH
","  Adjustable T emperature Fan &
Pump Switch
This is an easy solution for an all
in one thermos ...
",Adjustable T emperature Fan &," : EV West
",: 1.00,$49.00
Controller_Accessories," AEM-TSLA
",  AEM T esla ,AEM T esla," : HPEVS
",: 5.00,$999.00
Controller_Accessories," Chill Plate
","  Curtis 1238-1239 Chill Plate Liquid
Cooling Kit
Made from 6061 solid aluminum,
this 5/8"" thick pla ...
",Curtis 1238-1239 Chill Plate Liquid," : EV West
",: 8.00,$155.00
Controller_Accessories," Controller M
","  Curtis 1238-1239 Controller Mount
The EV West Curtis Controller
Mount is made of 3/1 ...
",Curtis 1238-1239 Controller Mount," : EV West
",: 5.00,$149.00
Controller_Accessories," 1313-4401
","  Curtis Handheld AC Motor OEM
Level Programmer 1313-4401
The Curtis 1313-4401 OEM level
Handheld Programmer ...
",Curtis Handheld AC Motor OEM," : Curtis
",: 4.00,$699.00
Controller_Accessories," 1314
","  Curtis PC Motor OEM Level
Programmer 1314
The Curtis 1314 PC based OEM
level programmer is j ...
",Curtis PC Motor OEM Level," : Curtis
",: 1.00,$599.00
Controller_Accessories," EVWThrottle
","  EV W est Billet Aluminum Throttle
Potentiometer
Uses a high quality OEM throttle
position sensor ( ...
",EV W est Billet Aluminum Throttle," : EV West
",: 3.00,$179.00
Controller_Accessories," EVW -
H9CP-3
","  NetGain/SME Hyper 9 AC-X120,
AC-X144 Chill Plate for VW Adapter
Plate
Made from 6061 solid aluminum,
this 5/8"" thick pla ...
","NetGain/SME Hyper 9 AC-X120,"," : EV West
",: 8.00,$145.00
Controller_Accessories," EVW -H9CP
","  NetGain/SME Hyper 9 AC-X120,
AC-X144 Chill Plate Liquid Cooling
Kit
Made from 6061 solid aluminum,
this 5/8"" thick pla ...
","NetGain/SME Hyper 9 AC-X120,"," : EV West
",: 8.00,$135.00
Controller_Accessories," Iso
","  Single Channel Opto-Isolator
Tachometer Module for Curtis 1238
This single channel Opto-Isolator
has been specifi ...
",Single Channel Opto-Isolator," : HPEVS
",: 1.00,$58.00
Controller_Accessories," WRX
Throttle
","  Subaru WRX STI Accelerator Pedal
- Hall Effect W ith Plug
These Standard OE Motor
accelerator pedal sensors ...
",Subaru WRX STI Accelerator Pedal," : EV West
",: 2.00,$119.00
Controller_Accessories," bracket
","  Toyota Prius Throttle Pedal Mount
This bracket was designed to
mount the Toyota Priu ...
",Toyota Prius Throttle Pedal Mount," : EV West
",: 2.00,$29.89
Controller_Accessories," Plug
","  Toyota Prius Throttle Pedal Plug
This plug fits the Toyota Prius
Pedal (78120-47050 ...
",Toyota Prius Throttle Pedal Plug," : EV West
",: 1.00,$18.00
Controller_Accessories," Ball and
Soc
","  Universal Ball and Socket for EV
Throttle Control Lever - Hall Effect
Throttle
This is the best solution for
adapting your existi ...
",Universal Ball and Socket for EV," : EV West
",: 0.20,$29.00
Controllers," Controller
","  Cascadia Rinehart PM100DX/DZ
100KW AC Motor Controller
This product is no longer
available through EV Wes ...
",Cascadia Rinehart PM100DX/DZ," : Rinehart
Motion
Systems
",: 20.00,"$6,240.00"
Controllers," Controller
","  Cascadia Rinehart PM150DX/DZ
150KW AC Motor Controller
This product is no longer
available through EV Wes ...
",Cascadia Rinehart PM150DX/DZ," : Rinehart
Motion
Systems
",: 25.00,"$9,360.00"
Controllers," EVC-T2-C
","  EV Controls T2-C T esla Drive Unit
Controller
The T2C is a controller that
allows you to install ...
",EV Controls T2-C T esla Drive Unit," : Tesla
",: 3.00,"$2,699.00"
Controllers,"
","  HPEVS Curtis 1236e-5621 48V 550
AMP  Controller - Replaces 1238-
5601
Curtis 1236e-5621 AC controller
that operates at 3 ...
",HPEVS Curtis 1236e-5621 48V 550," : Curtis
",: 9.00,"$1,088.00"
Controllers,"
","  HPEVS Curtis 1238e-6521 72V 550
AMP  Controller
Curtis 1238e-6521 AC controller
that operates at 4 ...
",HPEVS Curtis 1238e-6521 72V 550," : Curtis
",: 20.00,"$1,535.00"
Controllers," Curtis 1239
","  HPEVS Curtis 1239e-8521 144V 500
AMP  Controller
Curtis 1239-8501 AC controller
that operates at 12 ...
",HPEVS Curtis 1239e-8521 144V 500," : Curtis
",: 20.00,"$2,740.00"
Controllers," Zilla 1K
","  Manzanita Micro Zilla 1K Series DC
Motor Controller
This product is no longer
available through EV Wes ...
",Manzanita Micro Zilla 1K Series DC," : Manzanita
",: 20.00,"$2,600.00"
Controllers," Zilla 2K
","  Manzanita Micro Zilla 2K Series DC
Motor Controller
This product is no longer
available through EV Wes ...
",Manzanita Micro Zilla 2K Series DC," : Manzanita
",: 35.00,"$4,600.00"
Controllers," NGM-
ACX120
","  NetGain SME AC-X1 Inverter -
SRIPM Motor Inverter for Hyper9
Systems
Equipped with the latest
technology in power elect ...
",NetGain SME AC-X1 Inverter -," : NetGain
Motors
",: 11.00,"$2,050.00"
DC_Converters," 1KWDC144
","  DC/DC Converter 1000W Isolated
100-200 V olts
The High Efficiency Series
DC/DC Converter is spec ...
",DC/DC Converter 1000W Isolated," : Elcon
",: 6.00,$549.00
DC_Converters," 1KWDC320
","  DC/DC Converter 1000W Isolated
220-450 V olts
The High Efficiency Series
DC/DC Converter is spec ...
",DC/DC Converter 1000W Isolated," : Elcon
",: 6.00,$549.00
DC_Converters," 1KWDC108
","  DC/DC Converter 1000W Isolated
74-162 V olts
The High Efficiency Series
DC/DC Converter is spec ...
",DC/DC Converter 1000W Isolated," : Elcon
",: 6.00,$549.00
DrivetrainComponents," RemT rans
","  Remanufactured 2 Speed
VW/Porsche T ransmission for EV
Motors
These remanufactured
transmissions are designed an ...
",Remanufactured 2 Speed," : EV West
",: 125.00,"$1,999.00"
DrivetrainComponents," SR-1310
","  Spicer 1310 Series 1-1/8 inch Yoke
With 1/4 inch Keyway
This Spicer 1310 Series Yoke will
fit any 1-1/8 in ...
",Spicer 1310 Series 1-1/8 inch Yoke," : EV West
",: 2.00,$142.00
DrivetrainComponents," SR-1350
","  Spicer 1350 Series 1-1/8 inch Yoke
With 1/4 inch Keyway
This Spicer 1350 Series Yoke will
fit any 1-1/8 in ...
",Spicer 1350 Series 1-1/8 inch Yoke," : EV West
",: 2.00,$152.00
DrivetrainComponents," Slip Yoke
","  Spicer 1350 Series 27 Spline
Powerglide, T -350, 700R, 200R and
4L60 T ransmission Slip Yoke
Spicer 1350 27 spline Slip Yoke.
Fits Powergli ...
",Spicer 1350 Series 27 Spline," : EV West
",: 4.00,$88.00
DrivetrainComponents," EVW -MS-
930C
","  Tesla 930 Stub Axle Conversion Kit
for Porsche, VW and Others
Our EV West 930 CV Stub
Adapter kit allows for eas ...
",Tesla 930 Stub Axle Conversion Kit," : EV West
",: 15.00,"$1,450.00"
DrivetrainComponents," TESLA-
CLIP
","  Tesla Replacement Stub Axle Clips
for 930 CV Flanges
The EV West Tesla axle clips are
great for ensurin ...
",Tesla Replacement Stub Axle Clips," : Tesla
",: 1.00,$8.00
EV_Conversion_Kits," EVT-CAR T
","  EV T rainer Cart - Fully Assembled
and Running - AC50 or Hyper9
The EV Trainer cart is a fully
assembled and fully ...
",EV T rainer Cart - Fully Assembled," : EV West
",: 340.00,"$32,995.00"
EV_Conversion_Kits," EVW -GHIA-
KIT
","  Karmann Ghia EV Conversion Kit,
AC Motor , Regen Braking, 1955-
1974
The EV West VW Karmann Ghia
Super Beetle Kit is ve ...
","Karmann Ghia EV Conversion Kit,"," : EV West
",: 380.00,"$19,278.64"
EV_Conversion_Kits," Porsche
356
","  Porsche 356 Speedster EV
Conversion Kit, Regen Brakes, AC
Motor , All Years
The EV West Air Cooled Porsche
Starter Kit is perf ...
",Porsche 356 Speedster EV," : EV West
",: 380.00,"$8,734.00"
EV_Conversion_Kits," Porsche
911
","  Porsche 91 1 EV Conversion Kit,
Regen Brakes, AC Motor 1965-1986
The EV West Air Cooled Porsche
Starter Kit is perf ...
","Porsche 91 1 EV Conversion Kit,"," : EV West
",: 380.00,"$11,594.00"
EV_Conversion_Kits," Porsche
912
","  Porsche 912 EV Conversion Kit,
Regen Brakes, AC Motor 1965-
1969, 1976
The EV West Air Cooled Porsche
Starter Kit is perf ...
","Porsche 912 EV Conversion Kit,"," : EV West
",: 380.00,"$11,594.00"
EV_Conversion_Kits," Porsche
914
","  Porsche 914 EV Conversion Kit,
Regen Brakes, AC Motor 1969-1976
The EV West Air Cooled Porsche
Starter Kit is perf ...
","Porsche 914 EV Conversion Kit,"," : EV West
",: 380.00,"$8,734.00EV CONVERSION KITS"
EV_Conversion_Kits," EVW -H9-
UNV
","  Universal NetGain Hyper 9 120V
EV Conversion Package - Motor ,
Inverter , Throttle, Instrument, Chill
Plate
The EV West ""Universal"" Starter
Kit is perfect for ...
",Universal NetGain Hyper 9 120V," : EV West
",: 380.00,"$5,977.00"
EV_Conversion_Kits," EVW -SB-
KIT
","  Volkswagen Super Beetle EV
Conversion Kit Complete, Regen
Brakes 1971-1979
The EV West VW Super Beetle
Kit is very unique in ...
",Volkswagen Super Beetle EV," : EV West
",: 380.00,"$19,278.64"
EV_Conversion_Kits," EVW -BTL-
KIT
","  Volkswagen VW Beetle/Bug EV
Conversion Complete Kit, Regen
Brakes, Battery Packs 1956-1977
The EV West VW Super Beetle
Kit is very unique in ...
",Volkswagen VW Beetle/Bug EV," : EV West
",: 380.00,"$19,278.64"
EV_Conversion_Kits," EVW -T2-
KIT
","  Volkswagen VW Bus, T ype 2,
Samba EV Conversion Kit, Regen
Brakes, AC Motor 1950-1979
The EV West Air Cooled
Volkswagen Type 2 Kit is ve ...
","Volkswagen VW Bus, T ype 2,"," : EV West
",: 380.00,"$21,098.64"
EV_Conversion_Kits," EVW -
NTCH-KIT
","  Volkswagen VW Notchback EV
Conversion Kit, AC Motor , Regen
Braking, T ype 3 1961-1973
The EV West VW Type 3
Notchback Kit is very unique ...
",Volkswagen VW Notchback EV," : EV West
",: 380.00,"$19,278.64"
EV_Conversion_Kits," EVW -
THNG-KIT
","  Volkswagen VW Thing EV
Conversion Kit, AC Motor , Regen
Braking, 1968-1980
The EV West VW Thing Kit is
very unique in the fac ...
",Volkswagen VW Thing EV," : EV West
",: 380.00,"$19,278.64"
Hose_Fittings," Cable Grip
","  1/2 NPT Cable Grip Gland Nut
These 1/2"" NPT accommodates
0.197 - 0.394"" (5 - 10 ...
",1/2 NPT Cable Grip Gland Nut," : EV West
",: 0.10,$4.38
Hose_Fittings," Fitting
","  1/4 Inch MP  Elbow to Male AN -6
Fitting
1/4 inch Male Pipe Elbow to Male
AN -6, fittings a ...
",1/4 Inch MP  Elbow to Male AN -6," : EV West
",: 0.10,$6.84
Hose_Fittings," Fitting
","  1/4 Inch MP  to Male AN -6 Fitting
1/4 inch Male Pipe to Male AN -6,
fittings are mad ...
",1/4 Inch MP  to Male AN -6 Fitting," : EV West
",: 0.10,$2.89
Hose_Fittings," Cable Grip
","  1/4 NPT Cable Grip Gland Nut
These 1/4"" NPT accommodates
wire diameter of appro ...
",1/4 NPT Cable Grip Gland Nut," : EV West
",: 0.10,$3.38
Hose_Fittings," Fitting
","  1/8 Inch MP  Elbow to Male AN -6
Fitting
1/8 Inch Male Pipe Elbow to Male
AN -6, fittings a ...
",1/8 Inch MP  Elbow to Male AN -6," : EV West
",: 0.10,$6.84
Hose_Fittings," Fitting
","  1/8 Inch MP  to Male AN -6 Fitting
1/8 inch Male Pipe to Male AN -6,
fittings are mad ...
",1/8 Inch MP  to Male AN -6 Fitting," : EV West
",: 0.10,$2.89HOSE & FITTINGS
Hose_Fittings," Cable Grip
","  3/4 NPT Cable Grip Gland Nut
These waterproofing black nylon
cable grip gland n ...
",3/4 NPT Cable Grip Gland Nut," : EV West
",: 0.10,$4.88
Hose_Fittings," Cable Grip
","  3/8 NPT Cable Grip Gland Nut
These 3/8"" NPT accommodates
0.197 - 0.394"" (5 - 10 ...
",3/8 NPT Cable Grip Gland Nut," : EV West
",: 0.10,$3.88
Hose_Fittings," Fitting
","  AN -6 Swivel Hose End
Field Changeable AN -6 hose end
swivel, fittings a ...
",AN -6 Swivel Hose End," : EV West
",: 0.10,$5.60
Hose_Fittings," Hose
","  Cloth Braided Rubber Hose AN -6
This hose is designed for use with
gas, oil, diese ...
",Cloth Braided Rubber Hose AN -6," : EV West
",: 0.10,$6.90
Instrumentation," 1000a
Shunt
","  1000 Amp 50 MV Shunt
These Deltec shunts are known
for being one of the ...
",1000 Amp 50 MV Shunt," : Deltec
",: 3.00,$67.00
Instrumentation," 500a Shunt
","  500 Amp 50 MV Shunt
These Deltec shunts are known
for being one of the ...
",500 Amp 50 MV Shunt," : Deltec
",: 2.00,$38.00
Instrumentation," 600a Shunt
","  600 Amp 50 MV Shunt
These Deltec shunts are known
for being one of the ...
",600 Amp 50 MV Shunt," : Deltec
",: 2.00,$47.00
Instrumentation," CD5-F
","  AEM CD5 Carbon Flat Panel CAN
Bus Display
CD-5F (Flat Panel) Carbon Digital
Dash Displays fe ...
",AEM CD5 Carbon Flat Panel CAN," : AEM
",: 3.00,$989.00
Instrumentation," CD7-F
","  AEM CD7 Carbon Flat Panel CAN
Bus Display
CD-7F (Flat Panel) Carbon Digital
Dash Displays fe ...
",AEM CD7 Carbon Flat Panel CAN," : AEM
",: 3.00,"$1,399.00"
Instrumentation," CAN-
SHUNT
","  CAN Bus Shunt IVT -S 1000A  for
Digital Instrumentation by ISA
Scale Isabellenhutte
The IVT-S intelligent current and
voltage measurem ...
",CAN Bus Shunt IVT -S 1000A  for," :
",: 1.00,$349.00
Instrumentation," EVW -
CBTH9
","  EV W est CAN Bus T achometer
Output Adapter for Hyper9 Drive
Systems
The EV West CAN Bus
Tachometer adapter will allow ...
",EV W est CAN Bus T achometer," : EV West
",: 1.00,$149.00
Instrumentation," GaugePod
","  Single Gauge Pod
This Single Gauge Pod is a
perfect fit for the Cur ...
",Single Gauge Pod," :
",: 1.00,$9.99
Instrumentation," 5:1 Pre-scal
","  TBS 5:1 Pre-scaler
Great pre-scaler to give your
Xantrex LinkPro ...
",TBS 5:1 Pre-scaler," : TBS
Electronics
",: 1.00,$95.00
Instrumentation," TBS Expert
P
","  TBS Expert Pro Battery Monitor -
For Lithium Packs up to 350V
The TBS Expert Pro Battery
Monitor can measure cur ...
",TBS Expert Pro Battery Monitor -," : TBS
Electronics
",: 1.00,$269.00
Miscellaneous," Heater
","  1500W High V oltage Heater
Element
1500W element can run on
traction pack voltages fr ...
",1500W High V oltage Heater," : Canadian EV
",: 3.00,$199.00
Miscellaneous," SB175
Cover
","  175 Amp Anderson SB175
Connector Cover
This cover is for the Anderson
175 Amp multipole p ...
",175 Amp Anderson SB175," :
",: 0.50,$8.00
Miscellaneous," SB50 Cover
","  50 Amp Anderson SB50 Connector
Cover
This cover is for the Anderson 50
Amp multipole po ...
",50 Amp Anderson SB50 Connector," :
",: 0.50,$6.00
Miscellaneous," AEM-
VCU200
","  AEM Electronics VCU 200
Programmable Electric V ehicle
Control Unit
AEM EV Vehicle Control Units
(VCUs) are the missin ...
",AEM Electronics VCU 200," : AEM
",: 4.00,"$1,598.00"
Miscellaneous," VAC-RES-
PL
","  Brake V acuum Reservoir Canister -
Plastic
This is a common reservoir used
to hold vacuum wit ...
",Brake V acuum Reservoir Canister -," : MSD Ignition
",: 1.00,$19.99
Miscellaneous," Vac Pump
CVR
","  CVR V acuum Pump VP555 - EV
Brake Booster
Unfortunately we are no longer
stocking this produ ...
",CVR V acuum Pump VP555 - EV," :
",: 9.00,$299.00
Miscellaneous," HVSTICK-
LG
","  Danger High V oltage W arning
Sticker - Large - 5 x 3
High Voltage sticker for contactor
boxes, battery ...
",Danger High V oltage W arning," : EV West
",: 0.10,$4.99
Miscellaneous," HVSTICK-
SM
","  Danger High V oltage W arning
Sticker - Small - 2.5 x 1.5
High Voltage sticker for contactor
boxes, battery ...
",Danger High V oltage W arning," : EV West
",: 0.10,$3.99
Miscellaneous," TS-BMSM
","  Dilithium BMS Controller
Designed to be used in electric
vehicle applicatio ...
",Dilithium BMS Controller," :
",: 1.50,$450.00
Miscellaneous," TS-BMST
","  Dilithium BMS Harness T ester
The BMS harness tester tests the
Dilithium BMS wir ...
",Dilithium BMS Harness T ester," :
",: 1.00,$5.00
Miscellaneous," TS-BMSS
","  Dilithium BMS Satellite
Each BMS Satellite allows
monitoring of up to 24 m ...
",Dilithium BMS Satellite," :
",: 1.50,$275.00
Miscellaneous," PSU
","  Electric Power Steering Unit for
Electric V ehicles
This power steering unit is an
electrically-driven ...
",Electric Power Steering Unit for," :
",: 17.00,$749.00
Miscellaneous," PEDBELL
","  EV Pedestrian T rolly Bell - Horn
Alternative
We got enough requests for a
pedestrian horn for t ...
",EV Pedestrian T rolly Bell - Horn," : EV West
",: 1.00,$48.00
Miscellaneous," Heater
","  High V oltage Universal Heater Kit
Heater can run on traction pack
voltages from 36-3 ...
",High V oltage Universal Heater Kit," : Canadian EV
",: 5.00,$899.00
Miscellaneous," Charge
Plate
","  J1772 Inlet Mounting Plate for
Charging Receptacle
We developed these simple
aluminum mounting plates ...
",J1772 Inlet Mounting Plate for," : EV West
",: 0.50,$18.88
Miscellaneous," 2.6-16S-
PCB
","  Lithium 16S Battery Module BMS
PCB Parallel Connection Boards
These EV West PCB boards will
simplify the wiring ...
",Lithium 16S Battery Module BMS," : EV West
",: 1.00,$44.00
Miscellaneous," Slip Yoke
","  Spicer 1350 Series 27 Spline
Powerglide, T -350, 700R, 200R and
4L60 T ransmission Slip Yoke
Spicer 1350 27 spline Slip Yoke.
Fits Powergli ...
",Spicer 1350 Series 27 Spline," : EV West
",: 4.00,$88.00
Miscellaneous," Vac Pump
","  SSBC V acuum Pump Kit - EV
Brake Booster
This SSBC electric vacuum pump
is the perfect solu ...
",SSBC V acuum Pump Kit - EV," : SSBC
",: 9.00,$288.00
Miscellaneous," TESLA-BM-
PCB
",  Tesla ,Tesla," : EV West
",: 1.00,$54.00
Miscellaneous," Starter
Cove
","  Universal Starter Cover Plate - Fits
VW, Porsche, and more
Here is a small item that will really
help give yo ...
",Universal Starter Cover Plate - Fits," : EV West
",: 0.50,$16.88
Miscellaneous," BMB3
","  Vibro Sound Deadening Mat
Vibro Damping Mats offer self-
adhesive sound deade ...
",Vibro Sound Deadening Mat," : EV West
",: 4.00,$16.99
Miscellaneous," EVW -T1CI
","  VW Splitty Bus Charge Inlet Billet
Aluminum Mounting Plate
Ease the installation on your '52-
'67 Volkswagen B ...
",VW Splitty Bus Charge Inlet Billet," : EV West
",: 3.00,$79.00
Miscellaneous," CU800
","  Wurth Copper T erminal Paste - CU
800
Wurth CU 800 is a high
temperature and high pressu ...
",Wurth Copper T erminal Paste - CU," : EV West
",: 0.50,$7.25
Motor_Accessories," VW-TSLA-
SF
","  Aircooled V olkswagen T esla Bolt-
In Subframe
The EV West VW Tesla
subframe/motor mount is desig ...
",Aircooled V olkswagen T esla Bolt-," : EV West
",: 50.00,"$1,850.00"
Motor_Accessories," Lift Ring
","  EV Motor Lift Ring For NetGain
Motors
This lift ring is rated at 2400
pounds lifting, an ...
",EV Motor Lift Ring For NetGain," : EV West
",: 1.00,$7.00
Motor_Accessories," FLYWH-
VW-POR
","  EV Specific Aluminum Lightweight
Flywheel For Porsche and VW
This exclusive EV West
lightweight aluminum flywhe ...
",EV Specific Aluminum Lightweight," : EV West
",: 5.00,$498.00
Motor_Accessories," ACC-5051
","  EV W est Accessory Plate & Pump
System For HPEVS AC-34/35/50/51
This item is no longer available as
we now have op ...
",EV W est Accessory Plate & Pump," : EV West
",: 30.00,"$1,799.00"
Motor_Accessories," EVW -
CBTTS
","  EV W est Classic T achometer
Adapter for T esla Drive Unit CAN
Bus Connection
The EV West CAN Bus
Tachometer adapter will allow ...
",EV W est Classic T achometer," : EV West
",: 1.00,$149.00
Motor_Accessories," EVW -
911930
","  Porsche to T esla CV Joint
Adapters for 91 1 to 930 Axles
The EV West VW Tesla/Porsche
axle adapters make se ...
",Porsche to T esla CV Joint," : EV West
",: 2.00,$159.00MOT OR ACCESSORIES
Motor_Accessories," Coupler
","  Universal Interference Fit Coupler
for Siemens, Remy and TM4 24
Spline Motor Shafts
4 inch couplers fit any
standardized 24 spline ...
",Universal Interference Fit Coupler," : EV West
",: 7.00,$329.00
Motor_Adapters,"
","  Chevy Small Block Adapter
All adapters retain use of original
clutch and fit ...
",Chevy Small Block Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Colorado/Canyon Adapter
All adapters retain use of original
clutch and fit ...
",Colorado/Canyon Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Dodge Neon Adapter
All adapters retain use of original
clutch and fit ...
",Dodge Neon Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Echo/Scion Motor Adapter
All adapters retain use of original
clutch and fit ...
",Echo/Scion Motor Adapter," : Canadian EV
",: 9.00,"$1,300.00"
